#linear,groundtruth,nonpoly
7*~(x&~y)+2*(x^y)-11*~(x|y)-9*~(x|~y)-6*(x&~y),-4*(x|~y)+11*(x&y),1*((7*~(x&~y))|(+2*(x^y)))+1*(+2*(x^y))-1*~((7*~(x&~y))|~(+2*(x^y)))-11*~(x|y)-9*~(x|~y)-6*(x&~y)
-1*~x-6*(x|~y)+7*~(x|y)+2*(x&~y)+6*(x&y),3*~(x|~y)-4*(x^y),2*((-1*~x)&(-6*(x|~y)))-4*((-1*~x)&~(-6*(x|~y)))+1*((-1*~x)^(-6*(x|~y)))-4*~((-1*~x)|(-6*(x|~y)))+4*~(-6*(x|~y))+7*~(x|y)+2*(x&~y)+6*(x&y)
-1*~(x^y)+1*(x|~y)-1*~(x&y)+1*~(x|y)+2*~(x|~y),1*(x^y)-1*(x&~y),3*((-1*~(x^y))&(+1*(x|~y)))-6*((-1*~(x^y))&~(+1*(x|~y)))+7*~((-1*~(x^y))&(+1*(x|~y)))-1*~((-1*~(x^y))^(+1*(x|~y)))-6*~((-1*~(x^y))|(+1*(x|~y)))-6*~((-1*~(x^y))|~(+1*(x|~y)))-1*~(x&y)+1*~(x|y)+2*~(x|~y)
1*(x|~y)+5*~y-1*~(x|~y)-6*(x&~y)-2*(x&y),6*~(x|y)-1*y,8*((1*(x|~y))&(+5*~y))+9*((1*(x|~y))&~(+5*~y))-6*((1*(x|~y))|~(+5*~y))-2*~((1*(x|~y))&(+5*~y))+8*~((1*(x|~y))|(+5*~y))+3*~((1*(x|~y))|~(+5*~y))-1*~(x|~y)-6*(x&~y)-2*(x&y)
-1*~(x&~y)+7*y+2*~x+8*(x&~y)-6*(x&y),7*(x^y)+1*~(x&y),-1*~(x&~(-7*(x&~y)+7*~(x&~x)-6*~(x^y)-1*~(x|y)-6*~(x|~y)))+7*y+2*~x+8*(x&~y)-6*(x&(-7*(x&~y)+7*~(x&~x)-6*~(x^y)-1*~(x|y)-6*~(x|~y)))
-1*~y+2*(x^y)-3*~(x|~y)-2*(x&~y)-1*(x&y),-1*~(x&~x),-3*((-1*~y)&(+2*(x^y)))+1*~((-1*~y)&~(-1*~y))+4*~((-1*~y)&~(+2*(x^y)))-5*~((-1*~y)|(+2*(x^y)))-4*~((-1*~y)|~(+2*(x^y)))-3*~(x|~y)-2*(x&~y)-1*(x&y)
4*~(x&~x)-4*~(x|y)-4*~(x|~y)-3*(x&~y)-5*(x&y),1*(x^y)-1*y,1*((4*~(x&~x))&(-4*~(x|y)))+1*((4*~(x&~x))|(-4*~(x|y)))+3*~((4*~(x&~x))|(-4*~(x|y)))+3*~((4*~(x&~x))|~(-4*~(x|y)))-3*~(4*~(x&~x))-4*~(x|~y)-3*(x&~y)-5*(x&y)
-2*x-1*~(x|y)-12*~(x|~y)-10*(x&~y)+2*(x&y),-11*(x^y)-1*~(x&y),-2*((-2*x)&(-1*~(x|y)))+1*((-2*x)&~(-1*~(x|y)))+5*(-1*~(x|y))-1*~((-2*x)&~(-1*~(x|y)))+1*~((-2*x)|(-1*~(x|y)))-3*~((-2*x)|~(-1*~(x|y)))-12*~(x|~y)-10*(x&~y)+2*(x&y)
-5*y+11*~(x&y)+1*~y-12*~(x|y)-12*(x&~y),-5*(x&y)+6*~(x|~y),-5*(-3*(x&y)-11*(x&~y)+11*(x|~y)-7*y-11*~(x|y)+8*~(x|~y))+11*~(x&y)+1*~y-12*~(x|y)-12*(x&~(-3*(x&y)-11*(x&~y)+11*(x|~y)-7*y-11*~(x|y)+8*~(x|~y)))
5*(x|~y)-5*~(x|y)-8*~(x|~y)-13*(x&~y)-12*(x&y),-7*(x|y)-1*(x^y),5*(x|~(2*(x&y)+1*(x&~y)-1*(x|y)+1*~(x|y)+3*~(x|~y)-1*~x))-5*~(x|y)-8*~(x|~y)-13*(x&~y)-12*(x&(2*(x&y)+1*(x&~y)-1*(x|y)+1*~(x|y)+3*~(x|~y)-1*~x))
-6*~(x^y)+11*x+6*~(x|y)-11*~(x|~y)-22*(x&~y),-11*(x|y)+16*(x&y),-6*~(x^(6*(x&y)+5*(x&~y)-5*(x|~y)-4*~(x|~y)+5*~x))+11*x+6*~(x|y)-11*~(x|~y)-22*(x&~(6*(x&y)+5*(x&~y)-5*(x|~y)-4*~(x|~y)+5*~x))
1*~y-7*x-2*~(x|y)-1*~(x|~y)+6*(x&~y),-6*(x&y)-1*~(x&~y),1*~(1*(x&y)-2*(x&~y)+2*(x^y)-11*~(x|y)-12*~(x|~y)+11*~x)-7*x-2*~(x|y)-1*~(x|~y)+6*(x&~(1*(x&y)-2*(x&~y)+2*(x^y)-11*~(x|y)-12*~(x|~y)+11*~x))
2*(x^y)+7*~(x&y)-18*~(x|y)-20*(x&~y)-11*(x&y),-11*(x|~y)+9*~(x|~y),2*((2*(x^y))&(+7*~(x&y)))-7*((2*(x^y))&~(+7*~(x&y)))+7*((2*(x^y))^(+7*~(x&y)))+1*~((2*(x^y))&(+7*~(x&y)))-1*~((2*(x^y))|(+7*~(x&y)))-7*~((2*(x^y))|~(+7*~(x&y)))-18*~(x|y)-20*(x&~y)-11*(x&y)
-7*~(x^y)+2*x+2*~(x|y)-5*~(x|~y)-7*(x&~y),-5*~(x&~x),-5*((-7*~(x^y))&(+2*x))+1*((-7*~(x^y))&~(+2*x))+7*~((-7*~(x^y))&~(+2*x))-12*~((-7*~(x^y))|(+2*x))-11*~((-7*~(x^y))|~(+2*x))+5*~(-7*~(x^y))+2*~(x|y)-5*~(x|~y)-7*(x&~y)
2*~(x^y)-3*(x|~y)-1*~y+2*~(x|y)+1*(x&y),-4*(x&~y),2*~(x^(1*(x&y)-10*(x&~y)+3*~(x&y)-10*~(x|y)-2*~(x|~y)+7*~y))-3*(x|~y)-1*~y+2*~(x|y)+1*(x&(1*(x&y)-10*(x&~y)+3*~(x&y)-10*~(x|y)-2*~(x|~y)+7*~y))
1*~y-3*~(x&y)+3*~(x|y)+3*(x&~y)+1*(x&y),-3*~(x|~y)+1*(x|~y),6*((1*~y)&(-3*~(x&y)))+5*((1*~y)&~(-3*~(x&y)))+2*((1*~y)|(-3*~(x&y)))-6*((1*~y)|~(-3*~(x&y)))+6*~((1*~y)|(-3*~(x&y)))-1*~((1*~y)|~(-3*~(x&y)))+3*~(x|y)+3*(x&~y)+1*(x&y)
-6*~x+7*~(x^y)-1*~(x|y)+6*~(x|~y)-1*(x&y),6*x-6*(x&~y),1*((-6*~x)&(+7*~(x^y)))-2*((-6*~x)&~(+7*~(x^y)))+2*((-6*~x)^(+7*~(x^y)))+1*(-6*~x)-1*~((-6*~x)|~(+7*~(x^y)))-1*~(x|y)+6*~(x|~y)-1*(x&y)
-5*(x|y)-7*(x|~y)-6*~(x&y)+11*~(x|~y)+18*(x&~y),-13*~(x|y)-12*(x&y),-5*(x|(1*(x&y)-5*(x&~y)+1*~(x&y)-5*~(x|y)+4*~y))-7*(x|~y)-6*~(x&y)+11*~(x|~y)+18*(x&~(1*(x&y)-5*(x&~y)+1*~(x&y)-5*~(x|y)+4*~y))
-7*y+1*~(x^y)+6*~(x|y)+7*~(x|~y)+7*(x&~y),-13*(x&y)+7*(x|~y),-7*(8*(x&y)+7*(x&~y)-5*(x|y)-2*~(x&~x)+2*~(x|y)+8*~(x|~y))+1*~(x^y)+6*~(x|y)+7*~(x|~y)+7*(x&~(8*(x&y)+7*(x&~y)-5*(x|y)-2*~(x&~x)+2*~(x|y)+8*~(x|~y)))
1*~y+1*(x|~y)+5*(x|y)-7*(x&~y)-6*(x&y),5*~(x|~y)+2*~(x|y),1*((1*~y)&(+1*(x|~y)))+1*~((1*~y)&~(+1*(x|~y)))-2*~((1*~y)|(+1*(x|~y)))+1*~(+1*(x|~y))+5*(x|y)-7*(x&~y)-6*(x&y)
-5*y-5*(x|y)+3*x+6*~(x|~y)+7*(x&y),2*(x&~y)-4*(x^y),2*((-5*y)&(-5*(x|y)))+7*((-5*y)&~(-5*(x|y)))+5*~((-5*y)|(-5*(x|y)))+1*~(-5*y)-6*~(-5*(x|y))+3*x+6*~(x|~y)+7*(x&y)
2*(x|y)-7*~(x&y)+7*~(x|~y)+5*(x&~y)-2*(x&y),-9*~(x|y)+2*~x,-1*((2*(x|y))&~(-7*~(x&y)))+1*((2*(x|y))|(-7*~(x&y)))+1*((2*(x|y))|~(-7*~(x&y)))-1*~((2*(x|y))|(-7*~(x&y)))+7*~(x|~y)+5*(x&~y)-2*(x&y)
-2*~y+1*~(x&~x)+4*y-5*~(x|~y)-5*(x&y),-1*(x&~y)-1*~(x|y),6*((-2*~y)&(+1*~(x&~x)))-2*((-2*~y)&~(+1*~(x&~x)))+3*((-2*~y)|~(+1*~(x&~x)))-7*~((-2*~y)&~(+1*~(x&~x)))+4*~((-2*~y)|(+1*~(x&~x)))+8*~((-2*~y)|~(+1*~(x&~x)))+4*y-5*~(x|~y)-5*(x&y)
-2*y-1*~(x&y)-11*(x|y)+1*~(x|y)+12*(x&~y)+13*(x&y),-14*~(x|~y),-2*(-1*(x&~y)+1*x+2*~(x|y)+3*~(x|~y)-2*~x)-1*~(x&y)-11*(x|y)+1*~(x|y)+12*(x&~y)+13*(x&(-1*(x&~y)+1*x+2*~(x|y)+3*~(x|~y)-2*~x))
-1*(x^y)-2*y-6*~(x&y)+6*~(x|y)+9*~(x|~y)+7*(x&~y),-2*(x&y),3*((-1*(x^y))&(-2*y))-1*((-1*(x^y))&~(-2*y))+3*((-1*(x^y))^(-2*y))-1*(-1*(x^y))-2*~((-1*(x^y))|~(-2*y))-6*~(x&y)+6*~(x|y)+9*~(x|~y)+7*(x&~y)
3*y-1*~y-7*~(x&~y)+19*~(x|y)+15*~(x|~y)+12*(x&~y),11*~(x&~x)-15*(x&y),3*(-7*(x&~y)+1*y+7*~(x&y)-7*~(x|y)-7*~(x|~y))-1*~y-7*~(x&~y)+19*~(x|y)+15*~(x|~y)+12*(x&~(-7*(x&~y)+1*y+7*~(x&y)-7*~(x|y)-7*~(x|~y)))
-7*~(x&~y)+5*y+11*(x|~y)+1*~(x|y)+7*~(x|~y)-6*(x&~y),9*(x&y)+5*~(x&y),3*((-7*~(x&~y))&(+5*y))+5*((-7*~(x&~y))&~(+5*y))-1*(-7*~(x&~y))-3*~((-7*~(x&~y))&(+5*y))+3*~((-7*~(x&~y))|(+5*y))+4*~((-7*~(x&~y))|~(+5*y))+11*(x|~y)+1*~(x|y)+7*~(x|~y)-6*(x&~y)
-7*~y-7*y+7*~(x^y)-1*(x|y)+8*~(x|~y)+8*(x&~y),-1*(x&y),-9*((-7*~y)&(-7*y))-17*((-7*~y)&~(-7*y))+11*((-7*~y)|(-7*y))+7*~((-7*~y)&(-7*y))-7*~((-7*~y)|(-7*y))-17*~((-7*~y)|~(-7*y))+7*~(x^y)-1*(x|y)+8*~(x|~y)+8*(x&~y)
-7*~y+1*~(x&~x)+6*~(x|y)-12*~(x|~y)-5*(x&~y)-12*(x&y),-11*(x|y),-10*((-7*~y)&(+1*~(x&~x)))+1*((-7*~y)&~(+1*~(x&~x)))+1*(+1*~(x&~x))+11*~((-7*~y)&~(+1*~(x&~x)))-11*~((-7*~y)|(+1*~(x&~x)))-11*~((-7*~y)|~(+1*~(x&~x)))+6*~(x|y)-12*~(x|~y)-5*(x&~y)-12*(x&y)
-1*x+2*(x^y)+1*~(x&y)-1*(x|y)-1*(x&~y)+2*(x&y),1*~(x|y)+2*~(x|~y),4*((-1*x)&(+2*(x^y)))-8*((-1*x)&~(+2*(x^y)))-2*(-1*x)+11*~((-1*x)&(+2*(x^y)))-11*~((-1*x)|(+2*(x^y)))-10*~((-1*x)|~(+2*(x^y)))+1*~(x&y)-1*(x|y)-1*(x&~y)+2*(x&y)
-1*x-2*~(x^y)-1*~(x&~x)+2*~(x&y)+1*~x+4*(x&y),2*~(x|~y),2*((-1*x)&(-2*~(x^y)))+9*((-1*x)&~(-2*~(x^y)))-7*~((-1*x)&(-2*~(x^y)))+8*~((-1*x)|(-2*~(x^y)))+8*~((-1*x)|~(-2*~(x^y)))-1*~(-2*~(x^y))-1*~(x&~x)+2*~(x&y)+1*~x+4*(x&y)
1*~(x&y)-6*y+5*~(x|y)+6*~(x|~y)+6*(x&~y)+13*(x&y),1*(x|y)+6*(x|~y),-1*((1*~(x&y))&~(-6*y))+3*((1*~(x&y))|~(-6*y))-1*(1*~(x&y))-3*~((1*~(x&y))|(-6*y))+1*~((1*~(x&y))|~(-6*y))+5*~(x|y)+6*~(x|~y)+6*(x&~y)+13*(x&y)
2*x+1*~(x&~x)-1*(x|~y)+3*~(x|y)-2*(x&~y)-2*(x&y),-2*~(x|~y)+3*~x,2*x+1*~(x&~x)-1*(x|~y)+3*~(x|y)-2*(x&~y)-2*(x&(3*(x&y)-2*y-2*~(x|y)+1*~(x|~y)+2*~x))
7*x-1*(x|y)-11*~y+13*~(x|y)+5*(x&~y)-6*(x&y),2*~x-3*~(x|~y),7*((7*x)&(-1*(x|y)))+9*((7*x)&~(-1*(x|y)))-3*((7*x)^(-1*(x|y)))-5*((7*x)|~(-1*(x|y)))+5*~((7*x)|(-1*(x|y)))+4*~((7*x)|~(-1*(x|y)))-11*~y+13*~(x|y)+5*(x&~y)-6*(x&y)
-1*~(x&y)+11*(x|~y)-2*~(x&~x)+3*~(x|~y)-8*(x&~y)-9*(x&y),8*~(x|y),-1*~(x&(3*(x&y)-5*(x&~y)+7*(x^y)-2*~(x&~x)+2*~(x|y)-4*~(x|~y)))+11*(x|~y)-2*~(x&~x)+3*~(x|~y)-8*(x&~y)-9*(x&(3*(x&y)-5*(x&~y)+7*(x^y)-2*~(x&~x)+2*~(x|y)-4*~(x|~y)))
1*(x|y)+1*~(x^y)+1*y-2*~x-1*(x&~y)-3*(x&y),-1*~(x|y),1*((1*(x|y))&(+1*~(x^y)))-2*((1*(x|y))&~(+1*~(x^y)))+1*((1*(x|y))|(+1*~(x^y)))-2*~((1*(x|y))|(+1*~(x^y)))+2*~(+1*~(x^y))+1*y-2*~x-1*(x&~y)-3*(x&y)
-1*~(x^y)+2*~(x&~x)+1*(x|~y)-2*~(x|y)-6*~(x|~y)-2*(x&y),-4*(x^y)+7*(x&~y),9*((-1*~(x^y))&(+2*~(x&~x)))+8*((-1*~(x^y))&~(+2*~(x&~x)))-7*(-1*~(x^y))-2*~((-1*~(x^y))|(+2*~(x&~x)))-1*~((-1*~(x^y))|~(+2*~(x&~x)))+2*~(-1*~(x^y))+1*(x|~y)-2*~(x|y)-6*~(x|~y)-2*(x&y)
1*~(x&y)+3*(x|~y)+2*x-1*~(x|~y)-6*(x&~y)-5*(x&y),4*~(x|y),-9*((1*~(x&y))&(+3*(x|~y)))+2*((1*~(x&y))&~(+3*(x|~y)))-1*((1*~(x&y))^(+3*(x|~y)))+11*~((1*~(x&y))^(+3*(x|~y)))-11*~((1*~(x&y))|(+3*(x|~y)))+2*~((1*~(x&y))|~(+3*(x|~y)))+2*x-1*~(x|~y)-6*(x&~y)-5*(x&y)
1*(x|~y)-7*(x|y)+11*~(x&y)-12*~(x|y)-5*(x&~y)+1*(x&y),-5*y+9*~(x|~y),1*(x|~(7*(x&y)+1*(x&~y)-6*y+1*~(x|y)+7*~(x|~y)-1*~y))-7*(x|y)+11*~(x&y)-12*~(x|y)-5*(x&~y)+1*(x&(7*(x&y)+1*(x&~y)-6*y+1*~(x|y)+7*~(x|~y)-1*~y))
-1*~(x&~x)+5*~(x&y)-3*~(x|y)+8*~(x|~y)+7*(x&~y)+12*(x&y),11*(x|y)+1*~x,8*((-1*~(x&~x))&(+5*~(x&y)))+1*((-1*~(x&~x))|~(+5*~(x&y)))-7*~((-1*~(x&~x))&~(+5*~(x&y)))+6*~((-1*~(x&~x))|(+5*~(x&y)))+8*~((-1*~(x&~x))|~(+5*~(x&y)))-3*~(x|y)+8*~(x|~y)+7*(x&~y)+12*(x&y)
-6*y-1*~(x^y)+11*~(x&y)+7*(x^y)-10*~(x|y)+7*(x&y),12*~(x|~y)+18*(x&~y),2*((-6*y)&(-1*~(x^y)))+8*((-6*y)&~(-1*~(x^y)))-7*((-6*y)^(-1*~(x^y)))-11*~((-6*y)|(-1*~(x^y)))-3*~((-6*y)|~(-1*~(x^y)))+11*~(-6*y)+11*~(x&y)+7*(x^y)-10*~(x|y)+7*(x&y)
1*~y-3*~x+2*~(x|y)+2*~(x|~y)-1*(x&~y)-1*(x&y),-1*y,-4*((1*~y)&(-3*~x))-6*((1*~y)&~(-3*~x))+7*(1*~y)-1*(-3*~x)+2*~((1*~y)|~(-3*~x))+2*~(x|y)+2*~(x|~y)-1*(x&~y)-1*(x&y)
7*x-11*~(x^y)+11*~(x|y)+1*~(x|~y)-7*(x&~y)+5*(x&y),1*y,7*x-11*~(x^y)+11*~(x|y)+1*~(x|~y)-7*(x&~y)+5*(x&(-4*(x&y)+3*y+2*~(x^y)-2*~(x|y)-2*~(x|~y)))
-1*x-6*~y+11*~x-5*~(x&y)-6*~(x|~y)+12*(x&~y),-1*(x&y),1*((-1*x)&(-6*~y))+3*((-1*x)&~(-6*~y))+1*((-1*x)|~(-6*~y))-3*~((-1*x)&(-6*~y))+2*~((-1*x)|(-6*~y))+4*~((-1*x)|~(-6*~y))+11*~x-5*~(x&y)-6*~(x|~y)+12*(x&~y)
-7*~y+4*~(x&y)+2*~(x&~y)+1*~(x|y)-6*~(x|~y)+3*(x&~y),2*(x&y),2*((-7*~y)&(+4*~(x&y)))-1*((-7*~y)&~(+4*~(x&y)))-1*((-7*~y)^(+4*~(x&y)))+3*~((-7*~y)&(+4*~(x&y)))-3*~((-7*~y)|(+4*~(x&y)))-1*~((-7*~y)|~(+4*~(x&y)))+2*~(x&~y)+1*~(x|y)-6*~(x|~y)+3*(x&~y)
2*(x^y)+5*~(x&~x)+1*~y-1*y-6*~(x|y)-8*(x&~y),4*(x&y)+6*~(x|~y),1*((2*(x^y))&(+5*~(x&~x)))+3*((2*(x^y))&~(+5*~(x&~x)))+1*(+5*~(x&~x))+2*~((2*(x^y))|(+5*~(x&~x)))-2*~(+5*~(x&~x))+1*~y-1*y-6*~(x|y)-8*(x&~y)
11*~x+5*(x|y)-11*~(x|y)-13*~(x|~y)-5*(x&~y)-2*(x&y),3*y,11*~x+5*(x|y)-11*~(x|y)-13*~(x|~y)-5*(x&~y)-2*(x&(13*(x&y)-1*y-11*~(x^y)+11*~(x|y)+2*~(x|~y)))
2*~(x&~y)-1*~(x^y)+3*~(x&~x)-3*~(x|y)-4*~(x|~y)-2*(x&~y),4*(x&y)+1*~(x&y),7*((2*~(x&~y))&(-1*~(x^y)))+6*((2*~(x&~y))&~(-1*~(x^y)))-6*((2*~(x&~y))|~(-1*~(x^y)))+1*~((2*~(x&~y))&~(2*~(x&~y)))+5*~((2*~(x&~y))|(-1*~(x^y)))+3*~(x&~x)-3*~(x|y)-4*~(x|~y)-2*(x&~y)
-2*(x|y)-5*~x-6*~(x|y)+7*~(x|~y)+2*(x&~y)-9*(x&y),-11*~(x^y),-1*((-2*(x|y))&~(-5*~x))+1*((-2*(x|y))|(-5*~x))+1*(-2*(x|y))-6*~(x|y)+7*~(x|~y)+2*(x&~y)-9*(x&y)
