#linear,groundtruth,poly
-2*x-1*(x|~y)-2*~x+3*~(x|y)+3*(x&y),-3*(x&~y)-2*~(x|~y),9*(x&~y)*(x&y)+33*(x&~y)*(x&~y)-42*(x&~y)*~(x&y)+54*(x&~y)*~(x|y)+30*(x&~y)*~(x|~y)-3*(x&~y)*~y+6*~(x|~y)*(x&y)+22*~(x|~y)*(x&~y)-28*~(x|~y)*~(x&y)+36*~(x|~y)*~(x|y)+20*~(x|~y)*~(x|~y)-2*~(x|~y)*~y+15*(x&~y)*~(x&~x)-21*(x&~y)*~(x^y)+10*~(x|~y)*~(x&~x)-14*~(x|~y)*~(x^y)
7*~y-1*x+3*~(x|~y)+1*(x&~y)+11*(x&y),3*y+7*(x|~y),-27*y*(x&y)-21*y*(x&~y)+12*y*~(x&~x)+6*y*~(x&~y)-9*y*~(x|y)-3*y*~(x|~y)-63*(x|~y)*(x&y)-49*(x|~y)*(x&~y)+28*(x|~y)*~(x&~x)+14*(x|~y)*~(x&~y)-21*(x|~y)*~(x|y)-7*(x|~y)*~(x|~y)+6*y*(x|~y)-18*y*~x+14*(x|~y)*(x|~y)-42*(x|~y)*~x
7*y+1*x-8*~(x|~y)-2*(x&~y)-8*(x&y),-1*(x^y),-4*(x^y)*(x&y)+7*(x^y)*(x&~y)+2*(x^y)*~(x|y)+8*(x^y)*~(x|~y)+1*(x^y)*~y-7*(x^y)*~(x&y)+5*(x^y)*~(x^y)
5*~(x^y)-11*x-6*~(x&y)+1*~x+6*(x&y),-17*(x&~y)-5*~(x|~y),-357*(x&~y)*(x&y)+102*(x&~y)*(x&~y)+374*(x&~y)*~(x^y)-306*(x&~y)*~(x|y)-17*(x&~y)*~(x|~y)-105*~(x|~y)*(x&y)+30*~(x|~y)*(x&~y)+110*~(x|~y)*~(x^y)-90*~(x|~y)*~(x|y)-5*~(x|~y)*~(x|~y)+34*(x&~y)*~x-85*(x&~y)*~y+10*~(x|~y)*~x-25*~(x|~y)*~y
5*y+1*~(x&~y)-1*~(x|y)-17*~(x|~y)-17*(x&y),-11*(x|y)+11*(x&~y),33*(x|y)*(x&y)-11*(x|y)*(x&~y)-22*(x|y)*y-22*(x|y)*~(x&~y)+11*(x|y)*~(x|y)+33*(x|y)*~(x|~y)+11*(x&~y)*(x&y)-33*(x&~y)*(x&~y)-44*(x&~y)*y-33*(x&~y)*~(x|y)+11*(x&~y)*~(x|~y)+22*(x|y)*~(x&~x)+22*(x&~y)*~(x&~x)
-1*~(x&~y)+7*~x-7*~(x&y)+1*~y+6*(x&~y),-1*y,-36*y*(x&y)-19*y*(x&~y)+20*y*~(x&~x)+6*y*~(x&~y)-36*y*~(x|y)-25*y*~(x|~y)+11*y*~(x^y)
1*~(x&~x)+3*~x-11*~(x|y)-4*~(x|~y)-1*(x&y),-7*~y+8*(x&~y),-14*~y*(x&~y)+14*~y*x+16*(x&~y)*(x&~y)-16*(x&~y)*x+14*~y*~(x&y)-7*~y*~(x&~x)-16*(x&~y)*~(x&y)+8*(x&~y)*~(x&~x)
1*~(x&~y)-7*(x|~y)-1*(x^y)+6*~(x|y)+8*(x&~y),-6*(x&y),24*(x&y)*(x&y)+54*(x&y)*(x&~y)-12*(x&y)*x+48*(x&y)*~(x|~y)-36*(x&y)*(x^y)-6*(x&y)*~(x&~y)+12*(x&y)*~(x|y)
3*(x|~y)-3*~(x&y)-1*~(x|y)+2*~(x|~y)-4*(x&y),-1*~(x&~y),-2*~(x&~y)*(x&y)+12*~(x&~y)*(x&~y)-4*~(x&~y)*~(x&~x)+7*~(x&~y)*~(x^y)-2*~(x&~y)*~(x|y)+12*~(x&~y)*~(x|~y)-7*~(x&~y)*(x^y)
3*(x|y)+1*x-1*~(x&y)-4*(x&~y)-5*(x&y),-1*(x|~y)+2*~(x|~y),-33*(x|~y)*(x&y)-31*(x|~y)*(x&~y)+10*(x|~y)*(x|y)+22*(x|~y)*x-7*(x|~y)*~(x|y)-17*(x|~y)*~(x|~y)+66*~(x|~y)*(x&y)+62*~(x|~y)*(x&~y)-20*~(x|~y)*(x|y)-44*~(x|~y)*x+14*~(x|~y)*~(x|y)+34*~(x|~y)*~(x|~y)+2*(x|~y)*~(x&~y)+6*(x|~y)*~x-4*~(x|~y)*~(x&~y)-12*~(x|~y)*~x
3*~y+1*x-3*~(x|y)-1*~(x|~y)-4*(x&~y),-1*y+2*(x&y),-4*y*(x&y)-4*y*(x&~y)+4*y*x+7*y*~(x|y)+7*y*~(x|~y)+20*(x&y)*(x&y)+20*(x&y)*(x&~y)-24*(x&y)*(x|~y)+34*(x&y)*~(x|y)+10*(x&y)*~(x|~y)+1*y*~(x&~x)-7*y*~x+2*(x&y)*~(x&~x)-14*(x&y)*~x
1*~(x^y)-3*(x|y)-1*~(x|y)+3*(x&~y)+1*(x&y),-2*~(x|~y)-1*y,-2*~(x|~y)*(x&y)-8*~(x|~y)*(x&~y)-14*~(x|~y)*~(x|y)-4*~(x|~y)*~(x|~y)+12*~(x|~y)*~y-1*y*(x&y)-4*y*(x&~y)-7*y*~(x|y)-2*y*~(x|~y)+6*y*~y-2*~(x|~y)*(x|~y)+6*~(x|~y)*~(x&~y)-1*y*(x|~y)+3*y*~(x&~y)
3*~(x&y)-1*(x^y)-2*~(x&~y)-2*(x&~y)+2*(x&y),1*~(x|y),-11*~(x|y)*(x&y)-18*~(x|y)*(x&~y)+10*~(x|y)*(x|~y)-19*~(x|y)*~(x|y)-1*~(x|y)*~(x|~y)+7*~(x|y)*~y-1*~(x|y)*(x^y)+1*~(x|y)*~(x&y)
7*~(x&~y)+2*(x^y)-11*~(x|y)-9*~(x|~y)-6*(x&~y),-4*(x|~y)+11*(x&y),4*(x|~y)*(x&y)+12*(x|~y)*~(x|~y)+12*(x|~y)*~y-11*(x&y)*(x&y)-198*(x&y)*(x&~y)+110*(x&y)*(x^y)-88*(x&y)*~(x|y)-99*(x&y)*~(x|~y)+99*(x&y)*~y-8*(x|~y)*~(x&y)-22*(x&y)*~(x&y)
-1*~x-6*(x|~y)+7*~(x|y)+2*(x&~y)+6*(x&y),3*~(x|~y)-4*(x^y),-18*~(x|~y)*(x&y)-30*~(x|~y)*(x&~y)+15*~(x|~y)*~(x^y)-24*~(x|~y)*~(x|y)-24*~(x|~y)*~(x|~y)+6*~(x|~y)*~y+24*(x^y)*(x&y)+40*(x^y)*(x&~y)-20*(x^y)*~(x^y)+32*(x^y)*~(x|y)+32*(x^y)*~(x|~y)-8*(x^y)*~y+21*~(x|~y)*(x^y)-28*(x^y)*(x^y)
-1*~(x^y)+1*(x|~y)-1*~(x&y)+1*~(x|y)+2*~(x|~y),1*(x^y)-1*(x&~y),9*(x^y)*(x&y)+16*(x^y)*(x&~y)-17*(x^y)*(x|y)+7*(x^y)*y-1*(x^y)*~(x|y)+9*(x^y)*~(x|~y)-7*(x&~y)*(x&y)-4*(x&~y)*(x&~y)+5*(x&~y)*(x|y)+3*(x&~y)*y+1*(x&~y)*~(x|y)-7*(x&~y)*~(x|~y)
1*(x|~y)+5*~y-1*~(x|~y)-6*(x&~y)-2*(x&y),6*~(x|y)-1*y,18*~(x|y)*(x&~y)-12*~(x|y)*~(x^y)+72*~(x|y)*~(x|y)-12*~(x|y)*~(x|~y)-66*~(x|y)*~y-17*y*(x&~y)-10*y*~(x|y)+11*y*~y-42*~(x|y)*(x&y)+42*~(x|y)*x+6*~(x|y)*y-7*y*(x&y)+7*y*x+1*y*y
-1*~(x&~y)+7*y+2*~x+8*(x&~y)-6*(x&y),7*(x^y)+1*~(x&y),35*(x^y)*(x&y)+35*(x^y)*(x&~y)-70*(x^y)*(x|y)-35*(x^y)*~(x|y)+70*(x^y)*~(x|~y)-7*~(x&y)*(x&y)+3*~(x&y)*(x&~y)+10*~(x&y)*y+3*~(x&y)*~(x|y)-12*~(x&y)*~(x|~y)+35*(x^y)*(x|~y)-7*(x^y)*~(x&~x)-5*~(x&y)*(x|~y)+1*~(x&y)*~(x&~x)
-1*~y+2*(x^y)-3*~(x|~y)-2*(x&~y)-1*(x&y),-1*~(x&~x),10*~(x&~x)*(x&y)-15*~(x&~x)*(x&~y)-2*~(x&~x)*(x|~y)+25*~(x&~x)*~(x&y)-22*~(x&~x)*~(x|y)-17*~(x&~x)*~(x|~y)-7*~(x&~x)*(x|y)
4*~(x&~x)-4*~(x|y)-4*~(x|~y)-3*(x&~y)-5*(x&y),1*(x^y)-1*y,-17*(x^y)*(x&y)-6*(x^y)*(x&~y)+5*(x^y)*~(x&~x)+5*(x^y)*~(x|y)-17*(x^y)*~(x|~y)-11*(x^y)*~y-11*y*(x&y)-22*y*(x&~y)+1*y*~(x&~x)-11*y*~(x|y)-11*y*~(x|~y)+11*y*~y+11*(x^y)*(x|y)+11*y*(x|y)
-2*x-1*~(x|y)-12*~(x|~y)-10*(x&~y)+2*(x&y),-11*(x^y)-1*~(x&y),88*(x^y)*(x&y)+88*(x^y)*(x&~y)-121*(x^y)*~(x|~y)+132*(x^y)*~x+8*~(x&y)*(x&y)+8*~(x&y)*(x&~y)-11*~(x&y)*~(x|~y)+12*~(x&y)*~x-77*(x^y)*x-121*(x^y)*~(x|y)-7*~(x&y)*x-11*~(x&y)*~(x|y)
-5*y+11*~(x&y)+1*~y-12*~(x|y)-12*(x&~y),-5*(x&y)+6*~(x|~y),25*(x&y)*(x&y)+25*(x&y)*(x&~y)+5*(x&y)*~(x&~x)+25*(x&y)*~(x|~y)-30*~(x|~y)*(x&y)-30*~(x|~y)*(x&~y)-84*~(x|~y)*x+138*~(x|~y)*~(x&~x)-144*~(x|~y)*~(x|y)-114*~(x|~y)*~(x|~y)-25*(x&y)*(x|y)-30*~(x|~y)*(x|y)
5*(x|~y)-5*~(x|y)-8*~(x|~y)-13*(x&~y)-12*(x&y),-7*(x|y)-1*(x^y),49*(x|y)*(x&y)+42*(x|y)*(x&~y)+14*(x|y)*(x^y)-21*(x|y)*(x|~y)+35*(x|y)*~(x|y)+7*(x^y)*(x&y)+6*(x^y)*(x&~y)+2*(x^y)*(x^y)-3*(x^y)*(x|~y)+5*(x^y)*~(x|y)-21*(x|y)*(x|y)-7*(x|y)*~(x&y)+21*(x|y)*~(x|~y)-3*(x^y)*(x|y)-1*(x^y)*~(x&y)+3*(x^y)*~(x|~y)
-6*~(x^y)+11*x+6*~(x|y)-11*~(x|~y)-22*(x&~y),-11*(x|y)+16*(x&y),77*(x|y)*(x&y)+55*(x|y)*(x&~y)-33*(x|y)*~(x|y)+11*(x|y)*~(x|~y)+33*(x|y)*~y+80*(x&y)*(x&y)+304*(x&y)*(x&~y)-160*(x&y)*(x^y)+16*(x&y)*~(x|y)+144*(x&y)*~(x|~y)-48*(x&y)*~y-77*(x|y)*x+11*(x|y)*~(x^y)-112*(x&y)*x+16*(x&y)*~(x^y)
1*~y-7*x-2*~(x|y)-1*~(x|~y)+6*(x&~y),-6*(x&y)-1*~(x&~y),-18*(x&y)*(x&y)+18*(x&y)*(x&~y)+24*(x&y)*~(x&~y)-36*(x&y)*~(x|y)-36*(x&y)*~(x|~y)-3*~(x&~y)*(x&y)+3*~(x&~y)*(x&~y)+4*~(x&~y)*~(x&~y)-6*~(x&~y)*~(x|y)-6*~(x&~y)*~(x|~y)-12*(x&y)*~(x&y)+30*(x&y)*~x-2*~(x&~y)*~(x&y)+5*~(x&~y)*~x
2*(x^y)+7*~(x&y)-18*~(x|y)-20*(x&~y)-11*(x&y),-11*(x|~y)+9*~(x|~y),-220*(x|~y)*(x&y)-154*(x|~y)*(x&~y)+165*(x|~y)*x+44*(x|~y)*y-11*(x|~y)*~(x|y)-55*(x|~y)*~(x|~y)-126*~(x|~y)*(x&y)-108*~(x|~y)*(x&~y)+99*~(x|~y)*x-27*~(x|~y)*~(x|y)-27*~(x|~y)*~(x|~y)+22*(x|~y)*~(x&~y)+18*~(x|~y)*~(x&~y)
-7*~(x^y)+2*x+2*~(x|y)-5*~(x|~y)-7*(x&~y),-5*~(x&~x),-30*~(x&~x)*(x&y)+15*~(x&~x)*(x&~y)-20*~(x&~x)*~(x&~x)-40*~(x&~x)*~(x|y)-40*~(x&~x)*~(x|~y)+10*~(x&~x)*~(x&y)+55*~(x&~x)*~(x&~y)
2*~(x^y)-3*(x|~y)-1*~y+2*~(x|y)+1*(x&y),-4*(x&~y),4*(x&~y)*(x&y)+8*(x&~y)*(x&~y)+24*(x&~y)*(x^y)+32*(x&~y)*~(x|y)-20*(x&~y)*~(x|~y)-28*(x&~y)*~y
1*~y-3*~(x&y)+3*~(x|y)+3*(x&~y)+1*(x&y),-3*~(x|~y)+1*(x|~y),-3*~(x|~y)*(x&y)-6*~(x|~y)*~(x|~y)+3*~(x|~y)*~y+1*(x|~y)*(x&y)+2*(x|~y)*~(x|~y)-1*(x|~y)*~y+6*~(x|~y)*y-3*~(x|~y)*~(x|y)+3*~(x|~y)*~x-2*(x|~y)*y+1*(x|~y)*~(x|y)-1*(x|~y)*~x
-6*~x+7*~(x^y)-1*~(x|y)+6*~(x|~y)-1*(x&y),6*x-6*(x&~y),-66*x*(x&y)-36*x*(x&~y)+30*x*~(x&~y)-36*x*~(x|y)-36*x*~(x|~y)+66*(x&~y)*(x&y)+36*(x&~y)*(x&~y)-30*(x&~y)*~(x&~y)+36*(x&~y)*~(x|y)+36*(x&~y)*~(x|~y)+30*x*x-30*(x&~y)*x
-5*(x|y)-7*(x|~y)-6*~(x&y)+11*~(x|~y)+18*(x&~y),-13*~(x|y)-12*(x&y),-195*~(x|y)*(x&~y)+52*~(x|y)*~(x&~y)-247*~(x|y)*~(x|y)-104*~(x|y)*~(x|~y)+228*(x&y)*(x&~y)-24*(x&y)*x+204*(x&y)*~(x|y)+72*(x&y)*~(x|~y)-104*~(x|y)*(x&y)+65*~(x|y)*~(x&~x)+143*~(x|y)*~y+96*(x&y)*(x&y)-60*(x&y)*~(x&~x)-132*(x&y)*~y
-7*y+1*~(x^y)+6*~(x|y)+7*~(x|~y)+7*(x&~y),-13*(x&y)+7*(x|~y),-143*(x&y)*(x&y)-130*(x&y)*(x&~y)+182*(x&y)*x+26*(x&y)*~(x|y)+39*(x&y)*~(x|~y)+77*(x|~y)*(x&y)+70*(x|~y)*(x&~y)-98*(x|~y)*x-14*(x|~y)*~(x|y)-21*(x|~y)*~(x|~y)-26*(x&y)*(x|y)-13*(x&y)*~y+14*(x|~y)*(x|y)+7*(x|~y)*~y
1*~y+1*(x|~y)+5*(x|y)-7*(x&~y)-6*(x&y),5*~(x|~y)+2*~(x|y),-5*~(x|~y)*~(x&~x)+5*~(x|~y)*~(x|y)-4*~(x|y)*(x&y)-2*~(x|y)*~(x&~x)+4*~(x|y)*~(x&~y)-6*~(x|y)*~(x|y)-4*~(x|y)*~(x|~y)+5*~(x|~y)*(x&~y)-5*~(x|~y)*~y-2*~(x|y)*(x&~y)+2*~(x|y)*~y
-5*y-5*(x|y)+3*x+6*~(x|~y)+7*(x&y),2*(x&~y)-4*(x^y),10*(x&~y)*(x&y)+10*(x&~y)*(x&~y)+12*(x&~y)*~(x|y)+10*(x&~y)*~(x|~y)-20*(x^y)*(x&y)-20*(x^y)*(x&~y)-24*(x^y)*~(x|y)-20*(x^y)*~(x|~y)+2*(x&~y)*(x|y)-14*(x&~y)*~(x&~x)-4*(x^y)*(x|y)+28*(x^y)*~(x&~x)
2*(x|y)-7*~(x&y)+7*~(x|~y)+5*(x&~y)-2*(x&y),-9*~(x|y)+2*~x,18*~(x|y)*x+27*~(x|y)*~(x|y)+108*~(x|y)*~(x|~y)-18*~(x|y)*~x-4*~x*x-6*~x*~(x|y)-24*~x*~(x|~y)+4*~x*~x+72*~(x|y)*(x&y)+9*~(x|y)*(x&~y)-18*~(x|y)*(x|y)-63*~(x|y)*y-16*~x*(x&y)-2*~x*(x&~y)+4*~x*(x|y)+14*~x*y
-2*~y+1*~(x&~x)+4*y-5*~(x|~y)-5*(x&y),-1*(x&~y)-1*~(x|y),2*(x&~y)*(x&y)+1*(x&~y)*(x&~y)+4*(x&~y)*~(x|y)+3*(x&~y)*~(x|~y)-12*~(x|y)*(x&y)-3*~(x|y)*(x&~y)+12*~(x|y)*y+4*~(x|y)*~(x&y)-6*~(x|y)*~(x|y)-17*~(x|y)*~(x|~y)-1*(x&~y)*~(x^y)-2*(x&~y)*~x+1*~(x|y)*~(x^y)+2*~(x|y)*~x
-2*y-1*~(x&y)-11*(x|y)+1*~(x|y)+12*(x&~y)+13*(x&y),-14*~(x|~y),-112*~(x|~y)*(x&y)+42*~(x|~y)*(x&~y)+154*~(x|~y)*~(x^y)-56*~(x|~y)*~(x|y)+70*~(x|~y)*~(x|~y)-56*~(x|~y)*~x-28*~(x|~y)*(x|~y)
-1*(x^y)-2*y-6*~(x&y)+6*~(x|y)+9*~(x|~y)+7*(x&~y),-2*(x&y),-28*(x&y)*(x&~y)-4*(x&y)*x-26*(x&y)*~(x|y)-10*(x&y)*~(x|~y)+22*(x&y)*~y+12*(x&y)*(x^y)+6*(x&y)*~(x^y)
3*y-1*~y-7*~(x&~y)+19*~(x|y)+15*~(x|~y)+12*(x&~y),11*~(x&~x)-15*(x&y),-165*~(x&~x)*(x&y)-99*~(x&~x)*(x&~y)+77*~(x&~x)*(x|~y)-22*~(x&~x)*~(x|y)-88*~(x&~x)*~(x|~y)-66*~(x&~x)*~y+225*(x&y)*(x&y)+135*(x&y)*(x&~y)-105*(x&y)*(x|~y)+30*(x&y)*~(x|y)+120*(x&y)*~(x|~y)+90*(x&y)*~y+77*~(x&~x)*(x|y)-105*(x&y)*(x|y)
-7*~(x&~y)+5*y+11*(x|~y)+1*~(x|y)+7*~(x|~y)-6*(x&~y),9*(x&y)+5*~(x&y),-9*(x&y)*(x&y)-72*(x&y)*(x&~y)+72*(x&y)*(x^y)+18*(x&y)*y+18*(x&y)*~(x|y)-90*(x&y)*~(x|~y)-5*~(x&y)*(x&y)-40*~(x&y)*(x&~y)+40*~(x&y)*(x^y)+10*~(x&y)*y+10*~(x&y)*~(x|y)-50*~(x&y)*~(x|~y)-9*(x&y)*~(x&y)-18*(x&y)*~(x^y)-5*~(x&y)*~(x&y)-10*~(x&y)*~(x^y)
-7*~y-7*y+7*~(x^y)-1*(x|y)+8*~(x|~y)+8*(x&~y),-1*(x&y),6*(x&y)*(x&y)+4*(x&y)*(x&~y)+2*(x&y)*y-4*(x&y)*~(x^y)+8*(x&y)*~(x|y)+2*(x&y)*~(x|~y)-3*(x&y)*~(x&~x)
-7*~y+1*~(x&~x)+6*~(x|y)-12*~(x|~y)-5*(x&~y)-12*(x&y),-11*(x|y),11*(x|y)*(x&y)+220*(x|y)*(x&~y)-220*(x|y)*~(x&y)+231*(x|y)*~(x|y)+220*(x|y)*~(x|~y)+11*(x|y)*(x^y)
-1*x+2*(x^y)+1*~(x&y)-1*(x|y)-1*(x&~y)+2*(x&y),1*~(x|y)+2*~(x|~y),-3*~(x|y)*(x&y)+2*~(x|y)*~(x&~x)-2*~(x|y)*~(x|y)-1*~(x|y)*~(x|~y)-2*~(x|~y)*(x&y)-28*~(x|~y)*(x&~y)+20*~(x|~y)*~(x&y)-24*~(x|~y)*~(x|y)-26*~(x|~y)*~(x|~y)-2*~(x|y)*(x^y)-1*~(x|y)*~y+4*~(x|~y)*(x^y)+2*~(x|~y)*~y
-1*x-2*~(x^y)-1*~(x&~x)+2*~(x&y)+1*~x+4*(x&y),2*~(x|~y),-24*~(x|~y)*(x&y)-24*~(x|~y)*(x&~y)+4*~(x|~y)*(x|~y)-46*~(x|~y)*~(x|y)+2*~(x|~y)*~(x|~y)+22*~(x|~y)*~y-4*~(x|~y)*~(x&~x)+22*~(x|~y)*~(x^y)
1*~(x&y)-6*y+5*~(x|y)+6*~(x|~y)+6*(x&~y)+13*(x&y),1*(x|y)+6*(x|~y),-6*(x|y)*~(x|y)-9*(x|y)*~(x|~y)+8*(x|y)*~x-12*(x|~y)*~(x&~x)+24*(x|~y)*~(x|y)+42*(x|~y)*~(x|~y)-36*(x|~y)*~x+2*(x|y)*(x&y)+2*(x|y)*(x&~y)-3*(x|y)*(x|~y)-12*(x|~y)*(x&y)-12*(x|~y)*(x&~y)+18*(x|~y)*(x|~y)
2*x+1*~(x&~x)-1*(x|~y)+3*~(x|y)-2*(x&~y)-2*(x&y),-2*~(x|~y)+3*~x,-8*~(x|~y)*(x&~y)+8*~(x|~y)*(x^y)+2*~(x|~y)*~(x|y)-4*~(x|~y)*~(x|~y)+12*~x*(x&~y)-12*~x*(x^y)-3*~x*~(x|y)+6*~x*~(x|~y)+2*~(x|~y)*(x|~y)-2*~(x|~y)*~x-3*~x*(x|~y)+3*~x*~x
7*x-1*(x|y)-11*~y+13*~(x|y)+5*(x&~y)-6*(x&y),2*~x-3*~(x|~y),-4*~x*(x&~y)-8*~x*~(x|y)-8*~x*~(x|~y)+6*~x*~x+6*~(x|~y)*(x&~y)+12*~(x|~y)*~(x|y)+12*~(x|~y)*~(x|~y)-9*~(x|~y)*~x+2*~x*~(x&y)-2*~x*~(x&~y)-3*~(x|~y)*~(x&y)+3*~(x|~y)*~(x&~y)
-1*~(x&y)+11*(x|~y)-2*~(x&~x)+3*~(x|~y)-8*(x&~y)-9*(x&y),8*~(x|y),-64*~(x|y)*(x&y)+16*~(x|y)*(x&~y)-80*~(x|y)*~(x&y)-24*~(x|y)*~(x|y)+40*~(x|y)*~x+24*~(x|y)*(x|~y)+32*~(x|y)*~(x&~x)
1*(x|y)+1*~(x^y)+1*y-2*~x-1*(x&~y)-3*(x&y),-1*~(x|y),-22*~(x|y)*(x&y)+1*~(x|y)*(x&~y)+12*~(x|y)*y-13*~(x|y)*~(x|y)-14*~(x|y)*~(x|~y)+3*~(x|y)*~x+11*~(x|y)*~(x^y)
-1*~(x^y)+2*~(x&~x)+1*(x|~y)-2*~(x|y)-6*~(x|~y)-2*(x&y),-4*(x^y)+7*(x&~y),-12*(x^y)*(x&y)-4*(x^y)*(x&~y)+16*(x^y)*x+4*(x^y)*~(x|y)-24*(x^y)*~(x|~y)+8*(x^y)*~x+21*(x&~y)*(x&y)+7*(x&~y)*(x&~y)-28*(x&~y)*x-7*(x&~y)*~(x|y)+42*(x&~y)*~(x|~y)-14*(x&~y)*~x+20*(x^y)*~(x&y)-28*(x^y)*~y-35*(x&~y)*~(x&y)+49*(x&~y)*~y
1*~(x&y)+3*(x|~y)+2*x-1*~(x|~y)-6*(x&~y)-5*(x&y),4*~(x|y),-16*~(x|y)*(x&y)-32*~(x|y)*(x&~y)+40*~(x|y)*(x^y)+12*~(x|y)*x+20*~(x|y)*~(x|y)-20*~(x|y)*~(x|~y)-24*~(x|y)*~(x&y)
